TSLF,FireYear,Assessment_Year,ObsArea_Whole,ObsArea_Subset,Check_ObsPercent_Whole,Check_ObsPercent_Subset,Check_Exp_MINInterval,Check_Exp_MAXInterval,,
1,2019,2020,0.016370339,5.01002E-05,0.009031607,0.000277227,16.66666667,6.666666667,,
2,2018,2020,2.059426848,0.45302647,1.13619726,2.50680391,13.88888889,6.222222222,,
3,2017,2020,1.751338609,1.416689975,0.966223263,7.8391975,11.57407407,5.807407407,,
4,2016,2020,1.66875358,1.442686169,0.920660642,7.983046405,9.645061728,5.420246914,,
5,2015,2020,0.815378835,0.588328748,0.449849043,3.255493673,8.03755144,5.058897119,,
6,2014,2020,0.696865706,0.616885368,0.384464691,3.413510593,6.697959534,4.721637311,,
7,2013,2020,2.135167193,1.753158056,1.17798363,9.701030213,5.581632945,4.406861491,,
8,2012,2020,0.237672024,0.116849647,0.131124979,0.646582862,4.651360787,4.113070725,,
9,2011,2020,2.151919471,1.712680735,1.187225955,9.477050572,3.876133989,3.83886601,,
10,2010,2020,2.548861338,1.40870408,1.406220994,7.795007872,3.230111658,3.582941609,,
11,2009,2020,0.043673917,0.042642732,0.024095143,0.235961857,2.691759715,3.344078835,,
12,2008,2020,0,0,0,0,2.243133096,3.121140246,,
13,2007,2020,0.011586487,0,0.00639233,0,1.86927758,2.91306423,,
14,2006,2020,1.560585422,0,0.860983667,0,1.557731316,2.718859948,,
15,2005,2020,0.517188237,0.494322188,0.28533563,2.735312123,1.29810943,2.537602618,,
16,2004,2020,3.863426567,0.00214092,2.13147395,0.011846695,1.081757859,2.36842911,,
17,2003,2020,0.753927532,2.04654E-05,0.415946018,0.000113245,0.901464882,2.210533836,,
18,2002,2020,1.904772072,0.425153717,1.050873359,2.352571146,0.751220735,2.063164914,,
19,2001,2020,29.36095033,5.339800685,16.1985998,29.54757422,0.626017279,1.925620586,,
20,2000,2020,0.064462996,0,0.035564594,0,0.521681066,1.79724588,,
21,1999,2020,0.305023047,0,0.168282913,0,0.434734222,1.677429488,,
22,1998,2020,0.503960983,0.147336342,0.278038081,0.815279775,0.362278518,1.565600856,,
23,1997,2020,0.827196091,0.713521854,0.45636869,3.948244736,0.301898765,1.461227465,,
24,1996,2020,0.33783308,0.003913751,0.186384392,0.021656587,0.251582304,1.363812301,,
