LastFire,Assessment_Year,ObsAreaKm2_AgnesBanksWoodSydney,ObsAreaKm2_BlueGumSydney,ObsAreaKm2_CumbWoodSydney,ObsAreaKm2_EldersBanksiaSydney,ObsAreaKm2_TurpIronForSydney
2001,2020,0.380909874939338,2.145963240880519e-6,15.510772240374395,0,0.1414650194692614
2002,2020,0.05473566299713548,0,1.1373698294424635,0,0.014249349959988961
2017,2020,0.17165917149577103,0,0.9695059884329029,0,0.058184746573391136
0,2020,1.044585149791096,7.487905245026707,206.30263561260765,0.10673286707555829,8.781213977078352
2001,2018,0.380909874939338,2.145963240880519e-6,15.510772240374399,0,0.1630206803984943
2002,2018,0.05473566299713548,0,1.1373698294424635,0,0.014249349959988961
2017,2018,0.17165917149577103,0,0.9695059884329029,0,0.058184746573391136
0,2018,1.044585149791096,7.487905245026707,207.08426612155654,0.10673286707555829,8.781213977078451
2001,2016,0.3955175375284111,2.145963240880519e-6,15.802403934165978,0,0.1630206803984943
2002,2016,0.05473566299713548,0,1.970654281972404,0,0.014249349959988961
0,2016,1.2016366586978362,7.487905245026701,207.24212301708997,0.10673286707555829,8.837936220749596
2002,2014,0.054737449171441535,0,1.9706513706071405,0,0.014249349959974992
2001,2014,0.39547234718500135,2.145963240880519e-6,15.83050958330677,0,0.17884004283320643
0,2014,1.201680062866762,7.487904934628127,207.46653019405795,0.10673286707555829,8.838198259424306
2002,2012,0.054737449171441535,0,1.9706513706071405,0,0.014249349959974992
2001,2012,0.39547234718500135,2.145963240880519e-6,15.833193593315093,0,0.17884004283320643
0,2012,1.201680062866762,7.487904934627882,208.06615046904355,0.10673286707555829,8.838198259424306
2001,2010,0.3955175375284111,2.145963240880519e-6,15.833458655556129,0,0.17900436470720543
2002,2010,0.05473566299713548,0,1.9706542819721786,0,0.014249349959988961
0,2010,1.2016366586978362,7.487905245026911,208.32430114304879,0.10673286707555829,8.83812572074912
1993,2020,0,0.009034401300011959,0.008316929078609217,0,0.020574750101263074
1997,2020,0,0.02903709294108969,0.0018421583085283637,0,0.0020562742429792997
2000,2020,0,0.04314450186154782,0,0,0
2003,2020,0,0.00756722573544085,0.2888131696809993,0,1.0977426452608778e-4
2004,2020,0,0.006495056366089266,0.3788065932284797,0,2.300351045697462e-4
2005,2020,0,8.090311233103275e-4,0.28202607216469233,0,0.02617586213296972
2013,2020,0,6.147311853710562e-6,0.6854127004933734,0,0
1993,2018,0,0.009034401300011959,0.008316929078609217,0,0.02057475010122291
1997,2018,0,0.02903709294108969,0.0018421583085283637,0,0.0020562742429792997
2000,2018,0,0.04314450186154782,0,0,0
2003,2018,0,0.00756722573544085,0.28881316968099463,0,1.0977426452608778e-4
2004,2018,0,0.006495056366089266,0.3790557193762268,0,2.300351045697462e-4
2005,2018,0,8.090311233103275e-4,0.28202607216478676,0,0.026175862133169737
2013,2018,0,6.147311853710562e-6,0.6854127004934764,0,0
1993,2016,0,0.009034401300011959,0.008316929078609217,0,0.02057475010122291
1997,2016,0,0.02903709294108969,0.02688934598514065,0,0.0020562742429792997
2000,2016,0,0.04314450186154782,0,0,0
2003,2016,0,0.00756722573544085,0.3191434639399878,0,1.0977426452608778e-4
2004,2016,0,0.006495056366061094,0.3791381728827754,0,2.300351045697462e-4
2005,2016,0,8.090311233103275e-4,0.351767072164675,0,0.026175862133169737
2013,2016,0,6.147311853710562e-6,0.6908257004934878,0,0
2013,2014,0,6.147311853710562e-6,0.6908685729907386,0,0
2005,2014,0,8.090311233052052e-4,0.372548955923178,0,0.02617586213289475
2004,2014,0,0.0064953667650844435,0.3791018245618033,0,2.300351045697462e-4
2003,2014,0,0.007567225735470653,0.31963825034276094,0,1.097742645284161e-4
2000,2014,0,0.043144501861432566,0,0,0
1997,2014,0,0.029037092941258568,0.026889345985185283,0,0.0020562742429792997
1993,2014,0,0.009034401300011959,0.008305198107042116,0,0.02057838037283587
2005,2012,0,8.090311233084649e-4,0.5368115816055573,0,0.02617586213289475
2004,2012,0,0.0064953667650844435,0.38001126025042775,0,2.300351045697462e-4
2003,2012,0,0.007567225735470653,0.33130587033619824,0,1.097742645284161e-4
2000,2012,0,0.043150649173298854,0,0,0
1997,2012,0,0.029037092941303272,0.026889345985185283,0,0.0020562742429792997
1993,2012,0,0.009034401300011959,0.008305198107042116,0,0.02057838037283587
1993,2010,0,0.009034401300011959,0.008316929078609217,0,0.020574750101263074
1997,2010,0,0.029037092940888524,0.026889345985149034,0,0.0020562742429792997
2000,2010,0,0.043150649173298854,0,0,0
2003,2010,0,0.007567225735455751,0.3312203627878042,0,1.097742645284161e-4
2004,2010,0,0.006495056366089266,0.3800504085714924,0,2.300351045697462e-4
2005,2010,0,8.090311233103275e-4,0.5429911721881129,0,0.02617586213310348
1968,2020,0,0,0.09548708050480945,0,9.73798654442653e-5
1974,2020,0,0,0.03453998731485242,0,0
1982,2020,0,0,0.07572718796367721,0,0
1984,2020,0,0,0.22084281621661733,0,7.118403566816123e-4
1988,2020,0,0,0.0012114702892783097,0,0
1991,2020,0,0,0.03633984986233982,0,0
1994,2020,0,0,0.052352232738902445,0,8.251640770547092e-4
1996,2020,0,0,0.4610797614914428,0,0
1998,2020,0,0,0.012239992885664106,0,0
2006,2020,0,0,0.3093950121652436,0.007453691195327789,0
2007,2020,0,0,0.017117660309910774,0,0
2008,2020,0,0,0.12828498056351614,0,0.01952480801636807
2009,2020,0,0,0.2599175542924921,0,2.3495407363000232e-4
2010,2020,0,0,0.2916541630943293,0,0
2012,2020,0,0,0.19683845206536832,0,0
2014,2020,0,0,0.47577526711367024,0,0
2015,2020,0,0,0.30814297564729864,0,0.01617318430879987
2016,2020,0,0,0.6461036033886243,0,0
2018,2020,0,0,0.6771835930659189,0,0.021555660928883356
2019,2020,0,0,0.279949619852956,0,0
1968,2018,0,0,0.09548708050480945,0,9.73798654442653e-5
1974,2018,0,0,0.03453998731485242,0,0
1982,2018,0,0,0.07572718796367721,0,0
1984,2018,0,0,0.22084281621661733,0,7.118403566816123e-4
1988,2018,0,0,0.0012114702892783097,0,0
1991,2018,0,0,0.03633984986233982,0,0
1994,2018,0,0,0.052352232738902445,0,8.251640770547092e-4
1996,2018,0,0,0.4653501335981239,0,0
1998,2018,0,0,0.012239992885664106,0,0
2006,2018,0,0,0.3093950121652436,0.007453691195327789,0
2007,2018,0,0,0.017117660309781554,0,0
2008,2018,0,0,0.20059160771926735,0,0.01952480801636807
2009,2018,0,0,0.35859250602987175,0,2.3495407363000232e-4
2010,2018,0,0,0.29165416309427833,0,0
2012,2018,0,0,0.19683845206536832,0,0
2014,2018,0,0,0.47577526711367024,0,0
2015,2018,0,0,0.30814297564729864,0,0.01617318430879987
2016,2018,0,0,0.6461036033886243,0,0
1968,2016,0,0,0.09548708050480945,0,9.73798654442653e-5
1974,2016,0,0,0.03453998731485242,0,0
1982,2016,0,0,0.07587568796367349,0,0
1984,2016,0,0,0.22084281621661733,0,7.118403566816123e-4
1988,2016,0,0,0.0012114702892783097,0,0
1991,2016,0,0,0.03633984986233982,0,0
1994,2016,0,0,0.052352232738902445,0,8.251640770547092e-4
1996,2016,0,0,0.4653501335981239,0,0
1998,2016,0,0,0.012239992885664106,0,0
