"","Assessment_Year","LastFire","ObsArea_Whole","ObsArea_Subset"
"1",2020,2019,0.016370339,5.01002e-05
"2",2020,2018,2.059426848,0.45302647
"3",2020,2017,1.751338609,1.416689975
"4",2020,2016,1.66875358,1.442686169
"5",2020,2015,0.815378835,0.588328748
"6",2020,2014,0.696865706,0.616885368
"7",2020,2013,2.135167193,1.753158056
"8",2020,2012,0.237672024,0.116849647
"9",2020,2011,2.151919471,1.712680735
"10",2020,2010,2.548861338,1.40870408
"11",2020,2009,0.043673917,0.042642732
"12",2020,2007,0.011586487,0
"13",2020,2006,1.560585422,0
"14",2020,2005,0.517188237,0.494322188
"15",2020,2004,3.863426567,0.00214092
"16",2020,2003,0.753927532,2.04654e-05
"17",2020,2002,1.904772072,0.425153717
"18",2020,2001,29.36095033,5.339800685
"19",2020,2000,0.064462996,0
"20",2020,1999,0.305023047,0
"21",2020,1998,0.503960983,0.147336342
"22",2020,1997,0.827196091,0.713521854
"23",2020,1996,0.33783308,0.003913751
"24",2020,1995,0.042289024,0
"25",2020,1994,0.561442521,0.123046892
"26",2020,1993,0.108925378,0.009441049
"27",2020,1992,9.71e-09,0
"28",2020,1991,0.884672172,0
"29",2020,1990,0.089166168,8.33591e-06
"30",2020,1989,0.197393858,0
"31",2020,1988,0.424863009,0
"32",2020,1986,0.422999926,0
"33",2020,1985,4.652082859,0.041335973
"34",2020,1984,1.707685048,2.82715e-07
"35",2020,1983,0.003188851,0
"36",2020,1982,0.036468948,0.000457078
"37",2020,1980,0.031403277,0.016575145
"38",2020,1978,0.019278757,0.001834198
"39",2020,1977,1.51848116,0
"40",2020,1974,0.12448086,0
"41",2020,1968,1.415376213,0
"42",2020,1964,0.017675495,0
"43",2020,0,114.8618863,1.201264064
"44",2015,2014,0.705076843,5.01002e-05
"45",2015,2013,2.138504223,0.45302647
"46",2015,2012,0.237672024,1.416689975
"47",2015,2011,2.151919471,1.442686169
"48",2015,2010,2.548861338,0.588328748
"49",2015,2009,0.04464619,0.616885368
"50",2015,2007,0.011586487,1.753158056
"51",2015,2006,1.560585422,0.116849647
"52",2015,2005,0.517188237,1.712680735
"53",2015,2004,3.869987559,1.40870408
"54",2015,2003,0.842589762,0.042642732
"55",2015,2002,3.091140916,0
"56",2015,2001,33.50700761,0
"57",2015,2000,0.064462996,0.494322188
"58",2015,1999,0.305023047,0.00214092
"59",2015,1998,0.503960983,2.04654e-05
"60",2015,1997,1.212765476,0.425153717
"61",2015,1996,0.33783308,5.339800685
"62",2015,1995,0.042289024,0
"63",2015,1994,0.585014983,0
"64",2015,1993,0.125526383,0.147336342
"65",2015,1992,9.71428e-09,0.713521854
"66",2015,1991,0.884672172,0.003913751
"67",2015,1990,0.089166168,0
"68",2015,1989,0.197393858,0.123046892
"69",2015,1988,0.424863009,0.009441049
"70",2015,1986,0.422999926,0
"71",2015,1985,4.793832342,0
"72",2015,1984,1.707685048,8.33591e-06
"73",2015,1983,0.003188851,0
"74",2015,1982,0.036468948,0
"75",2015,1980,0.031403277,0
"76",2015,1978,0.019278757,0.041335973
"77",2015,1977,1.51848116,2.82715e-07
